url,status,lang,canonical,hreflang_es,hreflang_ca,robots,title,description,h1,bytes_html
https://fallasuissa.es/,200,es,https://fallasuissa.es/,https://fallasuissa.es/,https://fallasuissa.es/va/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Falla Suïssa - L'Alqueria del Favero,"Comisión fallera Suïssa - L'Alqueria del Favero, en Valencia: tradición desde 2024, eventos culturales y colaboración solidaria con HOPE-INCLIVA.",Falla Suïssa - L'Alqueria del Favero,128917
https://fallasuissa.es/autorizacion-imagen-menor.html,200,es,https://fallasuissa.es/autorizacion-imagen-menor.html,https://fallasuissa.es/autorizacion-imagen-menor.html,https://fallasuissa.es/va/autorizacion-imagen-menor.html,"index, follow",Autorización de derechos de imagen — Menores | Falla Suïssa - L'Alqueria del Favero,"Formulario imprimible de autorización parental para el tratamiento del nombre y la imagen de menores falleros de la Falla Suïssa, conforme al RGPD, la LOPDGDD y la LO 1/1996.",Autorización de derechos de imagen — Menores de edad,35222
https://fallasuissa.es/autorizacion-imagen.html,200,es,https://fallasuissa.es/autorizacion-imagen.html,https://fallasuissa.es/autorizacion-imagen.html,https://fallasuissa.es/va/autorizacion-imagen.html,"index, follow",Autorización de derechos de imagen | Falla Suïssa - L'Alqueria del Favero,"Formulario imprimible de autorización para el tratamiento del nombre y la imagen de los falleros y falleras de la Falla Suïssa, conforme al RGPD y la LOPDGDD.",Autorización de derechos de imagen,31777
https://fallasuissa.es/aviso-legal.html,200,es,https://fallasuissa.es/aviso-legal.html,https://fallasuissa.es/aviso-legal.html,https://fallasuissa.es/va/aviso-legal.html,"index, follow",Aviso Legal | Falla Suïssa - L'Alqueria del Favero,Aviso legal e identificación del titular del sitio web de la Falla Suïssa - L'Alqueria del Favero.,Aviso Legal,20117
https://fallasuissa.es/blog-anima.html,200,es,https://fallasuissa.es/blog-anima.html,https://fallasuissa.es/blog-anima.html,https://fallasuissa.es/va/blog-anima.html,"index, follow",El alma del barrio | Blog | Falla Suïssa - L'Alqueria del Favero,"El alma del barrio: la historia del Jardín del Turia, Federico Trénor i Trénor y la Falla Suïssa en les Moreres, Valencia. De una autovía a un pulmón verde.","""El alma del barrio""",21854
https://fallasuissa.es/blog-somni.html,200,es,https://fallasuissa.es/blog-somni.html,https://fallasuissa.es/blog-somni.html,https://fallasuissa.es/va/blog-somni.html,"index, follow",Somni | Blog | Falla Suïssa - L'Alqueria del Favero,"Somni: la historia de cómo ocho personas ilusionadas fundaron la Falla Suïssa - L'Alqueria del Favero, la comisión número 396, en el barrio de les Moreres, Valencia.","""Somni""",21123
https://fallasuissa.es/blog.html,200,es,https://fallasuissa.es/blog.html,https://fallasuissa.es/blog.html,https://fallasuissa.es/va/blog.html,"index, follow",Falla Suïssa - L'Alqueria del Favero - Blog,"Blog de la Falla Suïssa - L'Alqueria del Favero: historias, crónicas y noticias de la comisión fallera.",Blog de Nuestra Falla,22191
https://fallasuissa.es/calendario.html,200,es,https://fallasuissa.es/calendario.html,https://fallasuissa.es/calendario.html,https://fallasuissa.es/va/calendario.html,"index, follow",Falla Suïssa - L'Alqueria del Favero - Calendario,"Calendario de la Falla Suïssa - L'Alqueria del Favero: consulta por mes, día o categoría todos los actos falleros y añádelos a tu agenda.",Calendario,27054
https://fallasuissa.es/colaboraciones.html,200,es,https://fallasuissa.es/colaboraciones.html,https://fallasuissa.es/colaboraciones.html,https://fallasuissa.es/va/colaboraciones.html,"index, follow",Colaboración con HOPE-INCLIVA | Falla Suïssa - L'Alqueria del Favero,Colaboración solidaria de Falla Suïssa - L'Alqueria del Favero con HOPE-INCLIVA en Valencia para apoyar la investigación del Linfoma No Hodgkin Pediátrico.,Colaboraciones,27945
https://fallasuissa.es/cookies.html,200,es,https://fallasuissa.es/cookies.html,https://fallasuissa.es/cookies.html,https://fallasuissa.es/va/cookies.html,"index, follow",Política de Cookies | Falla Suïssa - L'Alqueria del Favero,Política de cookies del sitio web de la Falla Suïssa - L'Alqueria del Favero. Información sobre las cookies utilizadas.,Política de Cookies,20803
